Month,Free_Signups,Free_to_Trial_Rate,Trial_to_Paid_Rate,Monthly_Churn_Pct,Price,CAC
1,1200,0.18,0.22,4.5,29.00,38.00
2,1340,0.18,0.23,4.6,29.00,39.00
3,1510,0.19,0.22,4.7,29.00,40.00
4,1620,0.19,0.24,4.8,29.00,41.00
5,1780,0.20,0.23,4.9,29.00,42.00
6,1950,0.20,0.25,5.0,29.00,43.50
7,2100,0.21,0.24,5.1,29.00,45.00
8,2260,0.21,0.26,5.2,29.00,46.00
9,2410,0.22,0.25,5.3,29.00,47.50
10,2580,0.22,0.27,5.4,29.00,49.00
11,2740,0.23,0.26,5.5,29.00,50.50
12,2900,0.23,0.28,5.6,32.00,52.00
13,3080,0.24,0.27,5.7,32.00,54.00
14,3250,0.24,0.29,5.8,32.00,55.50
15,3420,0.25,0.28,5.9,32.00,57.00
16,3600,0.25,0.30,6.0,32.00,59.00
17,3780,0.26,0.29,6.1,32.00,60.50
18,3960,0.26,0.31,6.2,32.00,62.00
19,4150,0.27,0.30,6.3,32.00,64.00
20,4340,0.27,0.32,6.4,32.00,66.00
21,4530,0.28,0.31,6.5,32.00,68.00
22,4730,0.28,0.33,6.6,32.00,70.00
23,4930,0.29,0.32,6.7,32.00,72.00
24,5140,0.29,0.34,6.8,32.00,74.00
